0,"5:37 PM · Jan 24, 2020",unverified,CNN Philippines,1.22E+18,The Department of Health said Friday there is still no confirmed case of the novel coronavirus in the Philippines.
1,"8:19 AM · Feb 14, 2020",unverified,"SHEILA LEWIS",1.23E+18,"Chinese companies are rushing to access cheap funds via “virus bonds” as they capitalize on #Beijing’s efforts to channel money into #Coronavirus-hit areas of the #Economy, but prospectuses show most of the funds raised will be used for other purposes"
2,"7:59 AM · Jan 25, 2020",unverified,"Curonian Veste",1.22E+18,Remember (who) poisened the wells with black plague.
3,"2:47 PM · Jan 24, 2020",unverified,Uncle Sam's Children,1.22E+18,The people of #Wuhan are literally dropping like flies all over the city. Like something out of a horror movie.
4,"7:17 AM · Jan 25, 2020",unverified,The New York Times,1.22E+18,"Breaking News: 15 more people died from a coronavirus outbreak in Wuhan, China, "
5,"8:19 AM · Feb 14, 2020",unverified,D@gsDoria,1.23E+18,Bkt pag China ang bait nila and we have territorial disputes with them. And US  just revoked a visa of  your crony and youre already waging war
6,"12:26 AM · Jan 25, 2020",unverified,colin_教主,1.22E+18,She is a doctor in Wuhan... If she quit. The local government will revoke her doctor'…
7,"4:31 AM · Feb 14, 2020",unverified,Aki Heikkinen,1.22E+18,"Bizarre. In original 1981 edition it was a Russian bioweapon named Gorki-400. After the cold war ended it was changed to Wuhan-400 for The 1996 edition. A virus called Wuhan-400 causes outbreak … in a Dean Koontz thriller from 1981. https://www.scmp.com/lifestyle/arts-culture/article/3050481/virus-called-wuhan-400-makes-people-terribly-ill-dean-koontz … lähteestä "
8,"6:15 AM · Feb 14, 2020",unverified,billboard,1.23E+18,billboard
9,"8:20 AM · Feb 14, 2020",unverified,"Cüpíd",1.23E+18,Thankfully I don’t wear glasses
10,"12:58 AM · Jan 25, 2020",unverified,Alfons López Tena,1.22E+18,"China vetoes Taiwan to participate in an emergency WHO meeting about the new coronavirus, which has killed at least 25 people since originating in the Chinese city of Wuhan last month. Taiwan has reported one case."
11,"7:59 AM · Jan 25, 2020",unverified,"PubMed Trending",1.22E+18,Trending on PubMed: Stop the Wuhan virus. 
12,"7:59 AM · Jan 25, 2020",unverified,"COVID19",1.22E+18,"""#China said it had 1,010 cases & 41 deaths. Many more cases are not being reported, experts believe.“We heard it was over 1,000 when they were only reporting a couple hundred cases,” -HHS official """
13,"7:45 AM · Jan 25, 2020",unverified,Bill Gertz,1.22E+18,Two facilities in Wuhan are linked to covert Chinese biological weapons programs. 
14,"6:19 PM · Jan 27, 2020",unverified,ISCResearch,1.23E+18,Supply of masks across #China is tight in fact the #coronarvirus is spreading across the country. 
15,"7:00 AM · Jan 25, 2020",unverified,Culttture,1.22E+18,Virologist Who Visited Wuhan Says Coronavirus is “Out of Control”
16,"7:59 AM · Jan 25, 2020",unverified,1.22E+18,1.22E+18,definitely since 1986 it hasn't changed much ... it even got worse I think .. 
17,"8:04 AM · Feb 14, 2020",unverified,"DBANK777@warrior16win",1.23E+18,"Gerpang Healthcare 💥 working with Harvard and Yale 💥 10 international patents 💥140m revenue yearly💥merger closing February 18 2020 💥30 mil float should go to $4+minimum🤯"
18,"6:50 PM · Jan 24, 2020",unverified,CGTN,1.22E+18,"Construction began on the night of January 23 for a new specialized hospital for #coronavirus patients in central China's #Wuhan City. The hospital is designed to have an area of 25,000 square meters with 1,000 beds and will be put into use by February 3"
19,"8:13 AM · Feb 14, 2020",unverified,Justin Schecker,1.23E+18,"“The worst time for us is when we hear the count of how many are sick."" "
20,"3:26 AM · Jan 25, 2020",unverified,The Independent,1.22E+18,France confirms two cases of deadly coronavirus 
21,"10:02 AM · Jan 24, 2020",unverified,Richard Barrow in Thailand,1.22E+18,"Should we be worried about coronavirus in #Thailand? Yes and no. The chance of people getting the virus is low. Even though there are 4 confirmed cases, they all had direct connections with Wuhan. However, up until 22 January, most Chinese from Wuhan flew to Bangkok!"
